"WK_END_DT","HOLIDAY_LEN","HOLIDAY","EASTER"
"2009-11-28",2,"THANKSGIVING",NA
"2009-12-05",7,NA,NA
"2009-12-12",7,NA,NA
"2009-12-19",7,NA,NA
"2009-12-26",5,"CHRISTMAS",NA
"2010-03-13",NA,NA,"Easter_3pre"
"2010-03-20",NA,NA,"Easter_2pre"
"2010-03-27",NA,NA,"Easter_1pre"
"2010-04-03",NA,NA,"Easter"
"2010-04-10",NA,NA,"Easter_1post"
"2010-04-17",NA,NA,"Easter_2post"
"2010-04-24",NA,NA,"Easter_3post"
"2010-11-27",2,"THANKSGIVING",NA
"2010-12-04",7,NA,NA
"2010-12-11",7,NA,NA
"2010-12-18",7,NA,NA
"2010-12-25",6,"CHRISTMAS",NA
"2011-04-02",NA,NA,"Easter_3pre"
"2011-04-09",NA,NA,"Easter_2pre"
"2011-04-16",NA,NA,"Easter_1pre"
"2011-04-23",NA,NA,"Easter"
"2011-04-30",NA,NA,"Easter_1post"
"2011-05-07",NA,NA,"Easter_2post"
"2011-05-14",NA,NA,"Easter_3post"
"2011-11-26",2,"THANKSGIVING",NA
"2011-12-03",7,NA,NA
"2011-12-10",7,NA,NA
"2011-12-17",7,NA,NA
"2011-12-24",7,NA,NA
"2011-12-31",0,"CHRISTMAS",NA
"2012-03-17",NA,NA,"Easter_3pre"
"2012-03-24",NA,NA,"Easter_2pre"
"2012-03-31",NA,NA,"Easter_1pre"
"2012-04-07",NA,NA,"Easter"
"2012-04-14",NA,NA,"Easter_1post"
"2012-04-21",NA,NA,"Easter_2post"
"2012-04-28",NA,NA,"Easter_3post"
"2012-11-24",2,"THANKSGIVING",NA
"2012-12-01",7,NA,NA
"2012-12-08",7,NA,NA
"2012-12-15",7,NA,NA
"2012-12-22",7,NA,NA
"2012-12-29",2,"CHRISTMAS",NA
"2013-03-09",NA,NA,"Easter_3pre"
"2013-03-16",NA,NA,"Easter_2pre"
"2013-03-23",NA,NA,"Easter_1pre"
"2013-03-30",NA,NA,"Easter"
"2013-04-06",NA,NA,"Easter_1post"
"2013-04-13",NA,NA,"Easter_2post"
"2013-04-20",NA,NA,"Easter_3post"
"2013-11-30",2,"THANKSGIVING",NA
"2013-12-07",7,NA,NA
"2013-12-14",7,NA,NA
"2013-12-21",7,NA,NA
"2013-12-28",3,"CHRISTMAS",NA
"2014-03-29",NA,NA,"Easter_3pre"
"2014-04-05",NA,NA,"Easter_2pre"
"2014-04-12",NA,NA,"Easter_1pre"
"2014-04-19",NA,NA,"Easter"
"2014-04-26",NA,NA,"Easter_1post"
"2014-05-03",NA,NA,"Easter_2post"
"2014-05-10",NA,NA,"Easter_3post"
"2014-11-29",2,"THANKSGIVING",NA
"2014-12-06",7,NA,NA
"2014-12-13",7,NA,NA
"2014-12-20",7,NA,NA
"2014-12-27",4,"CHRISTMAS",NA
"2015-03-14",NA,NA,"Easter_3pre"
"2015-03-21",NA,NA,"Easter_2pre"
"2015-03-28",NA,NA,"Easter_1pre"
"2015-04-04",NA,NA,"Easter"
"2015-04-11",NA,NA,"Easter_1post"
"2015-04-18",NA,NA,"Easter_2post"
"2015-04-25",NA,NA,"Easter_3post"
"2015-11-28",2,"THANKSGIVING",NA
"2015-12-05",7,NA,NA
"2015-12-12",7,NA,NA
"2015-12-19",7,NA,NA
"2015-12-26",5,"CHRISTMAS",NA
"2016-03-05",NA,NA,"Easter_3pre"
"2016-03-12",NA,NA,"Easter_2pre"
"2016-03-19",NA,NA,"Easter_1pre"
"2016-03-26",NA,NA,"Easter"
"2016-04-02",NA,NA,"Easter_1post"
"2016-04-09",NA,NA,"Easter_2post"
"2016-04-16",NA,NA,"Easter_3post"
"2016-11-26",2,"THANKSGIVING",NA
"2016-12-03",7,NA,NA
"2016-12-10",7,NA,NA
"2016-12-17",7,NA,NA
"2016-12-24",7,NA,NA
"2016-12-31",0,"CHRISTMAS",NA
"2017-03-25",NA,NA,"Easter_3pre"
"2017-04-01",NA,NA,"Easter_2pre"
"2017-04-08",NA,NA,"Easter_1pre"
"2017-04-15",NA,NA,"Easter"
"2017-04-22",NA,NA,"Easter_1post"
"2017-04-29",NA,NA,"Easter_2post"
"2017-05-06",NA,NA,"Easter_3post"
"2017-11-25",2,"THANKSGIVING",NA
"2017-12-02",7,NA,NA
"2017-12-09",7,NA,NA
"2017-12-16",7,NA,NA
"2017-12-23",7,NA,NA
"2017-12-30",1,"CHRISTMAS",NA
"2018-03-10",NA,NA,"Easter_3pre"
"2018-03-17",NA,NA,"Easter_2pre"
"2018-03-24",NA,NA,"Easter_1pre"
"2018-03-31",NA,NA,"Easter"
"2018-04-07",NA,NA,"Easter_1post"
"2018-04-14",NA,NA,"Easter_2post"
"2018-04-21",NA,NA,"Easter_3post"
"2018-11-24",2,"THANKSGIVING",NA
"2018-12-01",7,NA,NA
"2018-12-08",7,NA,NA
"2018-12-15",7,NA,NA
"2018-12-22",7,NA,NA
"2018-12-29",2,"CHRISTMAS",NA
"2019-03-30",NA,NA,"Easter_3pre"
"2019-04-06",NA,NA,"Easter_2pre"
"2019-04-13",NA,NA,"Easter_1pre"
"2019-04-20",NA,NA,"Easter"
"2019-04-27",NA,NA,"Easter_1post"
"2019-05-04",NA,NA,"Easter_2post"
"2019-05-11",NA,NA,"Easter_3post"
"2019-11-30",2,"THANKSGIVING",NA
"2019-12-07",7,NA,NA
"2019-12-14",7,NA,NA
"2019-12-21",7,NA,NA
"2019-12-28",3,"CHRISTMAS",NA
"2020-03-21",NA,NA,"Easter_3pre"
"2020-03-28",NA,NA,"Easter_2pre"
"2020-04-04",NA,NA,"Easter_1pre"
"2020-04-11",NA,NA,"Easter"
"2020-04-18",NA,NA,"Easter_1post"
"2020-04-25",NA,NA,"Easter_2post"
"2020-05-02",NA,NA,"Easter_3post"
"2020-11-28",2,"THANKSGIVING",NA
"2020-12-05",7,NA,NA
"2020-12-12",7,NA,NA
"2020-12-19",7,NA,NA
"2020-12-26",5,"CHRISTMAS",NA
"2021-03-13",NA,NA,"Easter_3pre"
"2021-03-20",NA,NA,"Easter_2pre"
"2021-03-27",NA,NA,"Easter_1pre"
"2021-04-03",NA,NA,"Easter"
"2021-04-10",NA,NA,"Easter_1post"
"2021-04-17",NA,NA,"Easter_2post"
"2021-04-24",NA,NA,"Easter_3post"
"2021-11-27",2,"THANKSGIVING",NA
"2021-12-04",7,NA,NA
"2021-12-11",7,NA,NA
"2021-12-18",7,NA,NA
"2021-12-25",6,"CHRISTMAS",NA
"2022-03-26",NA,NA,"Easter_3pre"
"2022-04-02",NA,NA,"Easter_2pre"
"2022-04-09",NA,NA,"Easter_1pre"
"2022-04-16",NA,NA,"Easter"
"2022-04-23",NA,NA,"Easter_1post"
"2022-04-30",NA,NA,"Easter_2post"
"2022-05-07",NA,NA,"Easter_3post"
"2022-11-26",2,"THANKSGIVING",NA
"2022-12-03",7,NA,NA
"2022-12-10",7,NA,NA
"2022-12-17",7,NA,NA
"2022-12-24",7,NA,NA
"2022-12-31",0,"CHRISTMAS",NA
"2023-03-18",NA,NA,"Easter_3pre"
"2023-03-25",NA,NA,"Easter_2pre"
"2023-04-01",NA,NA,"Easter_1pre"
"2023-04-08",NA,NA,"Easter"
"2023-04-15",NA,NA,"Easter_1post"
"2023-04-22",NA,NA,"Easter_2post"
"2023-04-29",NA,NA,"Easter_3post"
"2023-11-25",2,"THANKSGIVING",NA
"2023-12-02",7,NA,NA
"2023-12-09",7,NA,NA
"2023-12-16",7,NA,NA
"2023-12-23",7,NA,NA
"2023-12-30",1,"CHRISTMAS",NA
"2024-03-09",NA,NA,"Easter_3pre"
"2024-03-16",NA,NA,"Easter_2pre"
"2024-03-23",NA,NA,"Easter_1pre"
"2024-03-30",NA,NA,"Easter"
"2024-04-06",NA,NA,"Easter_1post"
"2024-04-13",NA,NA,"Easter_2post"
"2024-04-20",NA,NA,"Easter_3post"
"2025-03-29",NA,NA,"Easter_3pre"
"2025-04-05",NA,NA,"Easter_2pre"
"2025-04-12",NA,NA,"Easter_1pre"
"2025-04-19",NA,NA,"Easter"
"2025-04-26",NA,NA,"Easter_1post"
"2025-05-03",NA,NA,"Easter_2post"
"2025-05-10",NA,NA,"Easter_3post"
